"ID","Liceo","Cittadinanza","Scuola Triennale","CDS Triennale","Carriera Triennale","Scuola Magistrale","CDS Magistrale","Carriera Magistrale"
"99601177","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99610651","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99606080","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99609509","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99596939","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99602542","TECNICA AERONAUTICA","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99615664","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99597092","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99626914","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99656958","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99610046","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99608573","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99594421","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Laurea Magistrale Ing Ind - Inf"
"99624301","TECNICA PER GEOMETRA","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","ARCHITETTURA","Disattivata Magistrale"
"99661437","ESTERA","CINESE","Ing Ind - Inf","INGEGNERIA DELLA PRODUZIONE INDUSTRIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Magistrale Ing Ind - Inf"
"99602183","0","CINESE","Ing Ind - Inf","INGEGNERIA DELLA PRODUZIONE INDUSTRIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Magistrale Ing Ind - Inf"
"99661433","ESTERA","CINESE","Ing Ind - Inf","INGEGNERIA DELLA PRODUZIONE INDUSTRIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Magistrale Ing Ind - Inf"
"99690731","ESTERA","CINESE","Arc - Urb - Cost","PROGETTAZIONE ARCHITETTONICA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA","Disattivata Magistrale"
"99603973","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA","Disattivata Magistrale"
"99598172","ESTERA","CINESE","Arc - Urb - Cost","PROGETTAZIONE ARCHITETTONICA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA","Disattivata Magistrale"
"99626906","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99596409","Magistrale","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99609440","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99602876","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99608859","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99592703","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99608607","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99598735","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99607495","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99600277","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99606591","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99606362","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99600593","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99608729","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99608298","Scientifica","SAN MARINO","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99606219","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99609992","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99626813","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99608224","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99606322","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99597578","TECNICA PER GEOMETRA","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","ARCHITETTURA","Disattivata Magistrale"
"99658156","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","SPACE ENGINEERING - INGEGNERIA SPAZIALE","Disattivata Magistrale"
"99612805","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99603503","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99610055","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99604631","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99596753","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","SPACE ENGINEERING - INGEGNERIA SPAZIALE","Disattivata Magistrale"
"99660038","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99608569","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99608615","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99608668","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","SPACE ENGINEERING - INGEGNERIA SPAZIALE","Disattivata Magistrale"
"99612059","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99604783","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99600143","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99608599","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99606793","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99606768","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AERONAUTICAL ENGINEERING - INGEGNERIA AERONAUTICA","Disattivata Magistrale"
"99660068","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99601800","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ENERGY ENGINEERING - INGEGNERIA ENERGETICA","Disattivata Magistrale"
"99609811","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MANAGEMENT ENGINEERING - INGEGNERIA GESTIONALE","Disattivata Magistrale"
"99659431","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MATERIALS ENGINEERING AND NANOTECHNOLOGY - INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE","Disattivata Magistrale"
"99658443","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99610323","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99656705","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99606583","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99610445","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99657974","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","MECHANICAL ENGINEERING - INGEGNERIA MECCANICA","Disattivata Magistrale"
"99604958","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DELL'AUTOMAZIONE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AUTOMATION AND CONTROL ENGINEERING - INGEGNERIA DELL'AUTOMAZIONE","Disattivata Magistrale"
"99592709","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DELL'AUTOMAZIONE","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","AUTOMATION AND CONTROL ENGINEERING - INGEGNERIA DELL'AUTOMAZIONE","Disattivata Magistrale"
"99609078","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ELECTRONICS ENGINEERING - INGEGNERIA ELETTRONICA","Disattivata Magistrale"
"99611826","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ELECTRONICS ENGINEERING - INGEGNERIA ELETTRONICA","Disattivata Magistrale"
"99607510","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ELECTRONICS ENGINEERING - INGEGNERIA ELETTRONICA","Disattivata Magistrale"
"99606863","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ELECTRONICS ENGINEERING - INGEGNERIA ELETTRONICA","Disattivata Magistrale"
"99604848","Scientifica","PERUVIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Laurea Triennale Ing Ind - Inf","Ing Ind - Inf","ELECTRONICS ENGINEERING - INGEGNERIA ELETTRONICA","Disattivata Magistrale"
"99608209","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","INGEGNERIA DEI SISTEMI EDILIZI","Disattivata Magistrale"
"99626875","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","BUILDING AND ARCHITECTURAL ENGINEERING","Disattivata Magistrale"
"99601889","Classica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","BUILDING AND ARCHITECTURAL ENGINEERING","Disattivata Magistrale"
"99594095","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","BUILDING AND ARCHITECTURAL ENGINEERING","Disattivata Magistrale"
"99604245","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","INGEGNERIA DEI SISTEMI EDILIZI","Disattivata Magistrale"
"99602558","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","INGEGNERIA DEI SISTEMI EDILIZI","Disattivata Magistrale"
"99603129","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Laurea Triennale Arc - Urb - Cost","Arc - Urb - Cost","BUILDING AND ARCHITECTURAL ENGINEERING","Disattivata Magistrale"
